
#################################################################
Log started at 2025-06-12_16-20-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ff7b, Got: 6c8c
Checksum failed. Expected: 7c73, Got: db23
Checksum failed. Expected: 850b, Got: 49bb
Checksum failed. Expected: 49d7, Got: b852
Checksum failed. Expected: 6d0c, Got: 26ea
Checksum failed. Expected: 2ca8, Got: 9581
Checksum failed. Expected: 3347, Got: 0419
Checksum failed. Expected: 6627, Got: 72b0
Checksum failed. Expected: cf43, Got: e148
Checksum failed. Expected: a515, Got: 4fe0
Checksum failed. Expected: dc4d, Got: be77
Checksum failed. Expected: 4212, Got: 2d0f
Checksum failed. Expected: ed8e, Got: 9ba6
Checksum failed. Expected: 25e3, Got: 0a3e
Checksum failed. Expected: a3e9, Got: 78d5
Checksum failed. Expected: ce95, Got: e76d
Checksum failed. Expected: 2f01, Got: 5604
Checksum failed. Expected: c21e, Got: c49c
Checksum failed. Expected: 9f72, Got: 3334
Checksum failed. Expected: b4ae, Got: a1cb
Checksum failed. Expected: d905, Got: 1063
Checksum failed. Expected: 7e21, Got: 7efa
Checksum failed. Expected: beff, Got: ed92
Checksum failed. Expected: 7957, Got: 5c29
Checksum failed. Expected: 1c76, Got: cac1
Checksum failed. Expected: ff12, Got: 3958
Checksum failed. Expected: f5bb, Got: a7f0
Checksum failed. Expected: ef99, Got: 1688
Checksum failed. Expected: a9e7, Got: 851f
Checksum failed. Expected: 5371, Got: f3b7
Checksum failed. Expected: 8235, Got: 624e
Checksum failed. Expected: e06c, Got: d0e6
Checksum failed. Expected: ff5c, Got: 3f7d
Checksum failed. Expected: bcdb, Got: ae15
Checksum failed. Expected: 25c3, Got: 1cac
Checksum failed. Expected: 2500, Got: 8b44
Checksum failed. Expected: 4c59, Got: f9db
Checksum failed. Expected: 8d2c, Got: 6873
Checksum failed. Expected: 477a, Got: d70b
Checksum failed. Expected: 24ae, Got: 45a2
Checksum failed. Expected: 6bd9, Got: b43a
Checksum failed. Expected: ad93, Got: 22d1
Checksum failed. Expected: 2ddc, Got: 9169
Checksum failed. Expected: b337, Got: 0000
Checksum failed. Expected: 7810, Got: 6e98
Checksum failed. Expected: dbc5, Got: dd2f
Checksum failed. Expected: 075e, Got: 4bc7
Checksum failed. Expected: 0032, Got: ba5f
Checksum failed. Expected: 135a, Got: 28f6
Checksum failed. Expected: ccc1, Got: 978e
Checksum failed. Expected: 1097, Got: 0625
Checksum failed. Expected: fba6, Got: 74bd
Checksum failed. Expected: c5f1, Got: e354
Checksum failed. Expected: 1372, Got: 51ec
Checksum failed. Expected: dda8, Got: c083
Checksum failed. Expected: bd25, Got: 2f1b
Checksum failed. Expected: ddfb, Got: 9db3
Checksum failed. Expected: 7253, Got: 0c4a
Checksum failed. Expected: bd80, Got: 7ae2
Checksum failed. Expected: 3993, Got: e979
Checksum failed. Expected: a6ba, Got: 5811
Checksum failed. Expected: 7312, Got: c6a8
Checksum failed. Expected: c7ef, Got: 3540
Checksum failed. Expected: 57f1, Got: a3d7
Checksum failed. Expected: f5da, Got: 126f
Checksum failed. Expected: a59c, Got: 8106
Checksum failed. Expected: 1d6a, Got: ef9e
Checksum failed. Expected: 8666, Got: 5e36
Checksum failed. Expected: 41b6, Got: cccd
Checksum failed. Expected: 86cd, Got: 3b65
Checksum failed. Expected: 1c17, Got: a9fc
Checksum failed. Expected: 0736, Got: 1894
Checksum failed. Expected: e33e, Got: 872b
Checksum failed. Expected: f9bc, Got: f5c3
Checksum failed. Expected: 7afc, Got: 645a
Checksum failed. Expected: 0903, Got: d2f2
Checksum failed. Expected: 70d7, Got: 418a
Checksum failed. Expected: 677b, Got: b021
Checksum failed. Expected: 8d3f, Got: 47ae
Checksum failed. Expected: adc2, Got: b646
Checksum failed. Expected: dc72, Got: 24de
Checksum failed. Expected: 3a9f, Got: 9375
Checksum failed. Expected: 18f4, Got: 020d
Checksum failed. Expected: b6ba, Got: 70a4
Checksum failed. Expected: c808, Got: df3c
Checksum failed. Expected: 6082, Got: 4dd3
Checksum failed. Expected: 5633, Got: bc6b
Checksum failed. Expected: be0d, Got: 2b02
Checksum failed. Expected: 5794, Got: 999a
Checksum failed. Expected: dafc, Got: 0832
Checksum failed. Expected: 2202, Got: 76c9
Checksum failed. Expected: da70, Got: e561
Checksum failed. Expected: 347a, Got: 53f8
Checksum failed. Expected: e67f, Got: c290
Checksum failed. Expected: ca09, Got: 3127
Checksum failed. Expected: f582, Got: 9fbf
Checksum failed. Expected: 815c, Got: 0e56
Checksum failed. Expected: eb5d, Got: 7cee
Checksum failed. Expected: c588, Got: eb85
Checksum failed. Expected: 4d35, Got: 5a1d
Checksum failed. Expected: 5e39, Got: c8b5
Checksum failed. Expected: 4951, Got: 374c
Checksum failed. Expected: 60bc, Got: a5e4
Checksum failed. Expected: d77c, Got: 147b
Checksum failed. Expected: 0a6f, Got: 8313
Checksum failed. Expected: 262e, Got: f1aa
Checksum failed. Expected: 4741, Got: 6042
Checksum failed. Expected: f6f5, Got: ced9
Checksum failed. Expected: 7e9e, Got: 3d71
Checksum failed. Expected: 4154, Got: ac09
Checksum failed. Expected: bd3a, Got: 1aa0
Checksum failed. Expected: 68dd, Got: 8938
Checksum failed. Expected: bb92, Got: f7cf
Checksum failed. Expected: f0c9, Got: 6667
Checksum failed. Expected: 588f, Got: d4fe
Checksum failed. Expected: 11fe, Got: 4396
Checksum failed. Expected: aa72, Got: b22d
Checksum failed. Expected: 73ad, Got: 20c5
Checksum failed. Expected: 1b07, Got: 8f5d
Checksum failed. Expected: 5ee8, Got: fdf4
Checksum failed. Expected: 57cb, Got: 6c8c
Checksum failed. Expected: 0ffd, Got: db23
Checksum failed. Expected: 058b, Got: 49bb
Checksum failed. Expected: 059f, Got: b852
Checksum failed. Expected: af28, Got: 26ea
Checksum failed. Expected: 28f0, Got: 9581
Checksum failed. Expected: 8a89, Got: 0419
Checksum failed. Expected: 44cb, Got: 72b0
Checksum failed. Expected: abcb, Got: e148
Checksum failed. Expected: 2cf7, Got: 4fe0
Checksum failed. Expected: 1c4d, Got: be77
Checksum failed. Expected: 8212, Got: 2d0f
Checksum failed. Expected: cb32, Got: 9ba6
Checksum failed. Expected: 9e01, Got: 0a3e
Checksum failed. Expected: a03f, Got: 78d5
Checksum failed. Expected: 24c9, Got: e76d
Checksum failed. Expected: d8bf, Got: 5604
Checksum failed. Expected: 1c8a, Got: c49c
Checksum failed. Expected: c1ce, Got: 3334
Checksum failed. Expected: 1efa, Got: a1cb
Checksum failed. Expected: 83d1, Got: 1063
Checksum failed. Expected: 5aa9, Got: 7efa
Checksum failed. Expected: 3939, Got: ed92
Checksum failed. Expected: d5df, Got: 5c29
Checksum failed. Expected: 2ef2, Got: cac1
Checksum failed. Expected: 4aac, Got: 3958
Checksum failed. Expected: ba01, Got: a7f0
Checksum failed. Expected: fff9, Got: 1688
Checksum failed. Expected: 7157, Got: 851f
Checksum failed. Expected: 5837, Got: f3b7
Checksum failed. Expected: 1187, Got: 624e
Checksum failed. Expected: cffe, Got: d0e6
Checksum failed. Expected: 49e8, Got: 3f7d
Checksum failed. Expected: 4f65, Got: ae15
Checksum failed. Expected: d3c7, Got: 1cac
Checksum failed. Expected: f6ee, Got: 8b44
Checksum failed. Expected: c24d, Got: f9db
Checksum failed. Expected: 3096, Got: 6873
Checksum failed. Expected: 9a84, Got: d70b
Checksum failed. Expected: e5bc, Got: 45a2
Checksum failed. Expected: 8c27, Got: b43a
Checksum failed. Expected: ae21, Got: 22d1
Checksum failed. Expected: 7a92, Got: 9169
Checksum failed. Expected: 35d3, Got: 0000
Checksum failed. Expected: 2830, Got: 6e98
Checksum failed. Expected: aecf, Got: dd2f
Checksum failed. Expected: 4218, Got: 4bc7
Checksum failed. Expected: 97f4, Got: ba5f
Checksum failed. Expected: 91be, Got: 28f6
Checksum failed. Expected: 251f, Got: 978e
Checksum failed. Expected: 3fa9, Got: 0625
Checksum failed. Expected: 9cf4, Got: 74bd
Checksum failed. Expected: 0f7d, Got: e354
Checksum failed. Expected: 161c, Got: 51ec
Checksum failed. Expected: f686, Got: c083
Checksum failed. Expected: 026b, Got: 2f1b
Checksum failed. Expected: 8f37, Got: 9db3
Checksum failed. Expected: ad0d, Got: 0c4a
Checksum failed. Expected: 7510, Got: 7ae2
Checksum failed. Expected: 48e5, Got: e979
Checksum failed. Expected: fe0a, Got: 5811
Checksum failed. Expected: 5b42, Got: c6a8
Checksum failed. Expected: 3fff, Got: 3540
Checksum failed. Expected: e85f, Got: a3d7
Checksum failed. Expected: fdca, Got: 126f
Checksum failed. Expected: 1fc8, Got: 8106
Checksum failed. Expected: 3fc6, Got: ef9e
Checksum failed. Expected: c44a, Got: 5e36
Checksum failed. Expected: 27ca, Got: cccd
Checksum failed. Expected: faa5, Got: 3b65
Checksum failed. Expected: 528b, Got: a9fc
Checksum failed. Expected: 1dea, Got: 1894
Checksum failed. Expected: c1e2, Got: 872b
Checksum failed. Expected: 6b78, Got: f5c3
Checksum failed. Expected: 6664, Got: 645a
Checksum failed. Expected: 45cb, Got: d2f2
Checksum failed. Expected: f6ab, Got: 418a
Checksum failed. Expected: 179b, Got: b021
Checksum failed. Expected: a7ac, Got: 1eb9
Checksum failed. Expected: 2e44, Got: 8d50
Checksum failed. Expected: 10de, Got: fbe8
Checksum failed. Expected: 55e2, Got: 6a7f
Checksum failed. Expected: e923, Got: d917
Checksum failed. Expected: 9399, Got: 47ae
Checksum failed. Expected: 4484, Got: b646
Checksum failed. Expected: 6246, Got: 24de
Checksum failed. Expected: cc1b, Got: 9375
Checksum failed. Expected: c922, Got: 020d
Checksum failed. Expected: f49e, Got: 70a4
Checksum failed. Expected: 94b0, Got: df3c
Checksum failed. Expected: 02de, Got: 4dd3
Checksum failed. Expected: 516d, Got: bc6b
Checksum failed. Expected: 1ba3, Got: 2b02
Checksum failed. Expected: 7180, Got: 999a
Checksum failed. Expected: deb4, Got: 0832
Checksum failed. Expected: 85ec, Got: 76c9
Checksum failed. Expected: daf0, Got: e561
Checksum failed. Expected: 3f94, Got: 53f8
Checksum failed. Expected: 88db, Got: c290
Checksum failed. Expected: adf3, Got: 3127
Checksum failed. Expected: c77e, Got: 9fbf
Checksum failed. Expected: 1d64, Got: 0e56
Checksum failed. Expected: 9fb5, Got: 7cee
Checksum failed. Expected: e29e, Got: eb85
Checksum failed. Expected: db79, Got: 5a1d
Checksum failed. Expected: 84cd, Got: c8b5
