
#################################################################
Log started at 2025-06-13_16-13-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.101288, Y=-0.636401, Z=9.762068 m/s^2 Time of Week: 461608.175000, Week Number: 2370, Difference: 18.075800000046566 s
Acceleration: X=-0.103066, Y=-0.634570, Z=9.768639 m/s^2 Time of Week: 461608.176000, Week Number: 2370, Difference: 18.07577900003586 s
Acceleration: X=-0.106086, Y=-0.635173, Z=9.777603 m/s^2 Time of Week: 461608.177000, Week Number: 2370, Difference: 18.075742000025144 s
Acceleration: X=-0.112692, Y=-0.638180, Z=9.779411 m/s^2 Time of Week: 461608.178000, Week Number: 2370, Difference: 18.075639000014434 s
Acceleration: X=-0.111490, Y=-0.638186, Z=9.778208 m/s^2 Time of Week: 461608.179000, Week Number: 2370, Difference: 18.075779000003728 s
Acceleration: X=-0.106110, Y=-0.642441, Z=9.777624 m/s^2 Time of Week: 461608.180000, Week Number: 2370, Difference: 18.075785000051223 s
Acceleration: X=-0.106152, Y=-0.646037, Z=9.778799 m/s^2 Time of Week: 461608.181000, Week Number: 2370, Difference: 18.075784000040514 s
Acceleration: X=-0.100183, Y=-0.639448, Z=9.778172 m/s^2 Time of Week: 461608.182000, Week Number: 2370, Difference: 18.075722000029803 s
Acceleration: X=-0.095375, Y=-0.630483, Z=9.775143 m/s^2 Time of Week: 461608.183000, Week Number: 2370, Difference: 18.075782000019093 s
Acceleration: X=-0.101306, Y=-0.619010, Z=9.775738 m/s^2 Time of Week: 461608.184000, Week Number: 2370, Difference: 18.075790000008382 s
Acceleration: X=-0.103104, Y=-0.626785, Z=9.781161 m/s^2 Time of Week: 461608.185000, Week Number: 2370, Difference: 18.075800000055878 s
Acceleration: X=-0.103695, Y=-0.631609, Z=9.780584 m/s^2 Time of Week: 461608.186000, Week Number: 2370, Difference: 18.075798000045168 s
Acceleration: X=-0.107283, Y=-0.626179, Z=9.782963 m/s^2 Time of Week: 461608.187000, Week Number: 2370, Difference: 18.07578600003446 s
Acceleration: X=-0.109114, Y=-0.620183, Z=9.782920 m/s^2 Time of Week: 461608.188000, Week Number: 2370, Difference: 18.075787000023748 s
Acceleration: X=-0.100110, Y=-0.623795, Z=9.784736 m/s^2 Time of Week: 461608.189000, Week Number: 2370, Difference: 18.07578600001304 s
Acceleration: X=-0.098317, Y=-0.632224, Z=9.791945 m/s^2 Time of Week: 461608.190000, Week Number: 2370, Difference: 18.07578100000233 s
Acceleration: X=-0.094746, Y=-0.632801, Z=9.788338 m/s^2 Time of Week: 461608.191000, Week Number: 2370, Difference: 18.075778000049826 s
