
#################################################################
Log started at 2025-06-13_14-52-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: b9b0, Got: 000e
Checksum failed. Expected: 1ac5, Got: 000e
Checksum failed. Expected: f80d, Got: 000e
Checksum failed. Expected: d768, Got: 000e
Checksum failed. Expected: 5574, Got: 000e
Checksum failed. Expected: e6dd, Got: 000e
Checksum failed. Expected: 0c7d, Got: 000e
Checksum failed. Expected: 8108, Got: 000e
Checksum failed. Expected: 2c9b, Got: 000e
Checksum failed. Expected: 77fa, Got: 000e
Checksum failed. Expected: fc98, Got: 000e
Checksum failed. Expected: 937b, Got: 000e
Checksum failed. Expected: d853, Got: 000e
Checksum failed. Expected: 30a9, Got: 000e
Checksum failed. Expected: a30e, Got: 000e
Checksum failed. Expected: b1eb, Got: 000e
Checksum failed. Expected: dcd7, Got: 000e
Checksum failed. Expected: fbf2, Got: 000e
Checksum failed. Expected: a551, Got: 000e
Checksum failed. Expected: c231, Got: 000e
Checksum failed. Expected: 765b, Got: 000e
Checksum failed. Expected: 0f75, Got: 000e
Checksum failed. Expected: a44d, Got: 000e
Checksum failed. Expected: 1e3d, Got: 000e
Checksum failed. Expected: a95c, Got: 000e
Checksum failed. Expected: 0e9c, Got: 000e
Checksum failed. Expected: e428, Got: 000e
Checksum failed. Expected: b89f, Got: 000e
Checksum failed. Expected: 19a0, Got: 000e
Checksum failed. Expected: 5a4f, Got: 000e
Checksum failed. Expected: 9af1, Got: 000e
Checksum failed. Expected: 7d98, Got: 000e
Checksum failed. Expected: f645, Got: 000e
Checksum failed. Expected: 9b2a, Got: 000e
Checksum failed. Expected: 275c, Got: 000e
Checksum failed. Expected: ad1c, Got: 000e
Checksum failed. Expected: 08b9, Got: 000e
Checksum failed. Expected: d6d6, Got: 000e
Checksum failed. Expected: 88c7, Got: 000e
Checksum failed. Expected: 090f, Got: 000e
Checksum failed. Expected: 9fd4, Got: 000e
Checksum failed. Expected: a0b5, Got: 000e
Checksum failed. Expected: d45f, Got: 000e
Checksum failed. Expected: 6a40, Got: 000e
Checksum failed. Expected: 351a, Got: 000e
Checksum failed. Expected: 0bde, Got: 000e
Checksum failed. Expected: 2d25, Got: 000e
Checksum failed. Expected: 55d6, Got: 000e
Checksum failed. Expected: 1189, Got: 000e
Checksum failed. Expected: 8d78, Got: 000e
Checksum failed. Expected: b205, Got: 000e
Checksum failed. Expected: 6a89, Got: 000e
Checksum failed. Expected: 6958, Got: 000e
Checksum failed. Expected: db80, Got: 000e
Checksum failed. Expected: d900, Got: 000e
Checksum failed. Expected: 3b14, Got: 000e
Checksum failed. Expected: 6b72, Got: 000e
Checksum failed. Expected: 57c4, Got: 000e
Checksum failed. Expected: 6a09, Got: 000e
Checksum failed. Expected: eb6f, Got: 000e
Checksum failed. Expected: 406c, Got: 000e
Checksum failed. Expected: ba33, Got: 000e
Checksum failed. Expected: e532, Got: 000e
Checksum failed. Expected: a98c, Got: 000e
Checksum failed. Expected: 6bb1, Got: 000e
Checksum failed. Expected: 5d62, Got: 000e
Checksum failed. Expected: e10a, Got: 000e
Checksum failed. Expected: 5ada, Got: 000e
